action_00,action_01,action_02,action_03,action_04,action_05,action_06,action_07,action_08,action_09,action_10,action_11,action_12,action_13,action_14,action_15,action_16,action_17,action_18,action_19
"[-0.14541570842266083,-0.10011956840753555,-0.1856187880039215]","[-0.1659204363822937,-0.15074987709522247,-0.20723073184490204]","[-0.23614034056663513,0.05335400998592377,-0.28627097606658936]","[-0.18785256147384644,-0.09913677722215652,-0.15197336673736572]","[-0.19865551590919495,0.008237898349761963,-0.2312506139278412]","[-0.21406501531600952,-0.09022513031959534,-0.22233429551124573]","[-0.2347446233034134,-0.08849461376667023,-0.23794683814048767]","[-0.18899200856685638,-0.12939035892486572,-0.21430647373199463]","[-0.19322295486927032,0.014062732458114624,-0.2631071209907532]","[-0.25245246291160583,-0.11281139403581619,-0.27618688344955444]","[-0.18136167526245117,-0.1032995879650116,-0.24064461886882782]","[-0.23295477032661438,-0.23387937247753143,-0.22270610928535461]","[-0.3250282108783722,-0.09355607628822327,-0.28361740708351135]","[-0.21123377978801727,-0.1085578054189682,-0.25715067982673645]","[-0.19529183208942413,-0.11607376486063004,-0.21404516696929932]","[-0.23813621699810028,-0.06835783272981644,-0.1695803701877594]","[-0.15973123908042908,0.0035656094551086426,-0.3032299876213074]","[-0.17987345159053802,-0.047652773559093475,-0.2862085700035095]","[-0.1453668475151062,-0.0568828359246254,-0.1914476454257965]","[-0.20592358708381653,-0.11971089988946915,-0.20220312476158142]"
"[-0.17749199271202087,-0.061194777488708496,-0.24670760333538055]","[-0.15024344623088837,-0.028674118220806122,-0.18765081465244293]","[-0.10972230136394501,-0.07116328179836273,-0.12420390546321869]","[-0.17545460164546967,-0.06657303869724274,-0.2753276228904724]","[-0.1237432062625885,-0.030075013637542725,-0.22110483050346375]","[-0.18963134288787842,-0.05503912270069122,-0.2106262743473053]","[-0.17210333049297333,-0.0882391706109047,-0.22409917414188385]","[-0.10031366348266602,-0.07476119697093964,-0.31111955642700195]","[-0.20993676781654358,-0.10021363198757172,-0.25737640261650085]","[-0.10056532919406891,-0.025737784802913666,-0.23255059123039246]","[-0.2012767493724823,-0.09291154146194458,-0.3245786130428314]","[-0.16518105566501617,-0.08730245381593704,-0.3525812029838562]","[-0.12008240818977356,-0.18278849124908447,-0.3059336841106415]","[-0.2322547435760498,-0.12556596100330353,-0.3199319541454315]","[-0.19629335403442383,-0.1155286431312561,-0.1588849425315857]","[-0.11708896607160568,-0.0778832882642746,-0.2844043970108032]","[-0.19435714185237885,-0.011526823043823242,-0.2238764762878418]","[-0.03428037464618683,-0.19964122772216797,-0.05749310553073883]","[-0.3049904704093933,-0.11065580695867538,-0.24104318022727966]","[-0.10970865190029144,-0.058520182967185974,-0.24338342249393463]"
"[-0.22718636691570282,-0.047396399080753326,-0.1970842480659485]","[-0.35213369131088257,-0.16352272033691406,-0.22192369401454926]","[-0.1833978146314621,-0.06550975888967514,-0.2660748362541199]","[-0.17704737186431885,-0.0597313828766346,-0.158960223197937]","[-0.24920311570167542,-0.07736827433109283,-0.14728903770446777]","[-0.21468719840049744,-0.10252760350704193,-0.1899019181728363]","[-0.2414938360452652,-0.12714163959026337,-0.2927377223968506]","[-0.18892645835876465,-0.15483315289020538,-0.2440812885761261]","[-0.16725125908851624,-0.06440222263336182,-0.2166944146156311]","[-0.163507878780365,0.06280383467674255,-0.2113005667924881]","[-0.2715599834918976,-0.10327259451150894,-0.1973046362400055]","[-0.2440117597579956,0.015082910656929016,-0.24465179443359375]","[-0.19348643720149994,-0.11917797476053238,-0.28802746534347534]","[-0.3002179265022278,-0.12434590607881546,-0.34049364924430847]","[-0.2510916292667389,-0.137862429022789,-0.25822460651397705]","[-0.22568544745445251,-0.044093694537878036,-0.26615938544273376]","[-0.2043306529521942,-0.12949855625629425,-0.2252245545387268]","[-0.2298964411020279,-0.12226635962724686,-0.22747087478637695]","[-0.14701569080352783,-0.20345351099967957,-0.17322811484336853]","[-0.23982056975364685,-0.09397473186254501,-0.1110832467675209]"
"[-0.2214055061340332,-0.11088835448026657,-0.21010485291481018]","[-0.13715362548828125,-0.08670737594366074,-0.16493257880210876]","[-0.1324962079524994,-0.0777125433087349,-0.16380634903907776]","[-0.20011001825332642,-0.11778949946165085,-0.18899275362491608]","[-0.16134695708751678,-0.05673123896121979,-0.24371227622032166]","[-0.17591223120689392,-0.09036088734865189,-0.2354140281677246]","[-0.24061986804008484,-0.16398140788078308,-0.2596971094608307]","[-0.15944555401802063,-0.03910886123776436,-0.16750624775886536]","[-0.1814984679222107,-0.1176973357796669,-0.2668742835521698]","[-0.13461481034755707,-0.039088018238544464,-0.40837743878364563]","[-0.10155226290225983,-0.017472349107265472,-0.18369324505329132]","[-0.18821734189987183,-0.13232500851154327,-0.3282415270805359]","[-0.22417108714580536,-0.1843971461057663,-0.3470631539821625]","[-0.19456130266189575,-0.18758954107761383,-0.3602738380432129]","[-0.23278357088565826,-0.15042893588542938,-0.22519546747207642]","[-0.24341440200805664,-0.15127046406269073,-0.2676926255226135]","[-0.22127129137516022,-0.11543485522270203,-0.20951154828071594]","[-0.22126413881778717,-0.09439172595739365,-0.18811890482902527]","[-0.1559857875108719,-0.1396058201789856,-0.23421303927898407]","[-0.13787075877189636,0.02021677792072296,-0.20026390254497528]"
"[-0.19999250769615173,-0.1360202431678772,-0.11240546405315399]","[-0.18291997909545898,-0.040569789707660675,-0.20279094576835632]","[-0.20920176804065704,-0.022420473396778107,-0.22971206903457642]","[-0.14150527119636536,-0.028168492019176483,-0.14471441507339478]","[-0.21245118975639343,-0.054697804152965546,-0.242081880569458]","[-0.18780255317687988,-0.056174054741859436,-0.22650182247161865]","[-0.1462976336479187,0.04241134226322174,-0.21289479732513428]","[-0.15146708488464355,-0.03824911266565323,-0.23342642188072205]","[-0.2151162475347519,-0.0637563019990921,-0.20365475118160248]","[-0.12469781935214996,-0.0021119266748428345,-0.2558724284172058]","[-0.14530310034751892,-0.12199737876653671,-0.2507259249687195]","[-0.17730504274368286,-0.03569640964269638,-0.3298681676387787]","[-0.14317572116851807,-0.1178792417049408,-0.32132869958877563]","[-0.1714564859867096,-0.08545428514480591,-0.33680611848831177]","[-0.25627613067626953,-0.06581825762987137,-0.3100956380367279]","[-0.17488683760166168,-0.04433047026395798,-0.36213183403015137]","[-0.21421577036380768,0.027474790811538696,-0.2788327932357788]","[-0.1788824051618576,-0.06646950542926788,-0.28377142548561096]","[-0.3491550087928772,-0.23723307251930237,-0.29999783635139465]","[-0.23628030717372894,-0.14872339367866516,-0.24153782427310944]"
"[-0.20018456876277924,-0.09898450970649719,-0.21847650408744812]","[-0.15904323756694794,-0.027559205889701843,-0.23935985565185547]","[-0.1605834662914276,0.023209407925605774,-0.1889040768146515]","[-0.15423442423343658,-0.0705418810248375,-0.06653597950935364]","[-0.16484412550926208,-0.1623644232749939,-0.2901546359062195]","[-0.2088640332221985,-0.04802032187581062,-0.24797828495502472]","[-0.24816294014453888,-0.06821508705615997,-0.23470723628997803]","[-0.22633010149002075,-0.10384557396173477,-0.28177908062934875]","[-0.30392399430274963,-0.06070440635085106,-0.22177748382091522]","[-0.2002878338098526,-0.11983423680067062,-0.19694246351718903]","[-0.2372751235961914,-0.11197488009929657,-0.22833356261253357]","[-0.25256359577178955,-0.12196601927280426,-0.28539150953292847]","[-0.24577365815639496,-0.05495854467153549,-0.3136148154735565]","[-0.23948942124843597,-0.05311771109700203,-0.32102537155151367]","[-0.1919514238834381,-0.05418485403060913,-0.17815351486206055]","[-0.18536031246185303,-0.10118762403726578,-0.3163367807865143]","[-0.23405911028385162,-0.2527598440647125,-0.20528031885623932]","[-0.16399672627449036,-0.08113323897123337,-0.22269238531589508]","[-0.14954160153865814,-0.16671323776245117,-0.199225053191185]","[-0.3339698016643524,-0.28926771879196167,-0.24827532470226288]"
"[-0.13040700554847717,-0.017953313887119293,-0.19853615760803223]","[-0.17741183936595917,-0.13986517488956451,-0.19326937198638916]","[-0.27638348937034607,-0.033388569951057434,-0.1388128101825714]","[-0.16157150268554688,-0.02347450703382492,-0.18284574151039124]","[-0.20632041990756989,-0.03942881152033806,-0.15570972859859467]","[-0.17581817507743835,-0.05263518542051315,-0.08904862403869629]","[-0.1433928906917572,-0.1486513465642929,-0.1727800965309143]","[-0.09394656121730804,0.043136268854141235,-0.3135509490966797]","[-0.22538991272449493,-0.08241606503725052,-0.20136578381061554]","[-0.17919397354125977,0.0007277876138687134,-0.27139124274253845]","[-0.2609970271587372,-0.05025322735309601,-0.19965121150016785]","[-0.32034289836883545,-0.17363785207271576,-0.3486023545265198]","[-0.15025553107261658,-0.13445937633514404,-0.46417996287345886]","[-0.2824745178222656,-0.25910627841949463,-0.3177216053009033]","[-0.36015552282333374,-0.19367702305316925,-0.2816673517227173]","[-0.1772918999195099,-0.14583764970302582,-0.2474953830242157]","[-0.21226979792118073,-0.08015142381191254,-0.2281004935503006]","[-0.10136327147483826,-0.08798345178365707,-0.27684369683265686]","[-0.2402479201555252,-0.1424368917942047,-0.16808104515075684]","[-0.1965663582086563,-0.1134909838438034,-0.12143810093402863]"
"[-0.24561725556850433,-0.028070315718650818,-0.20302700996398926]","[-0.2933748662471771,0.011047616600990295,-0.17767080664634705]","[-0.22273555397987366,-0.009911812841892242,-0.20470702648162842]","[-0.2120734006166458,-0.0292397178709507,-0.21921828389167786]","[-0.20535573363304138,-0.07680373638868332,-0.15898185968399048]","[-0.16350412368774414,-0.019233956933021545,-0.16820672154426575]","[-0.12058445811271667,-0.07295631617307663,-0.24807791411876678]","[-0.2150246500968933,-0.032552801072597504,-0.129928857088089]","[-0.1987258344888687,-0.06663532555103302,-0.19500631093978882]","[-0.22670060396194458,-0.037179891020059586,-0.1948041319847107]","[-0.23139169812202454,-0.029478907585144043,-0.25480443239212036]","[-0.19651295244693756,0.07608772814273834,-0.2462538778781891]","[-0.3050713837146759,-0.11969339102506638,-0.3303667902946472]","[-0.2078251838684082,-0.014966428279876709,-0.31483012437820435]","[-0.264997661113739,-0.1243300661444664,-0.2733687460422516]","[-0.2103150486946106,-0.1159534901380539,-0.17542396485805511]","[-0.3174284100532532,-0.1465577483177185,-0.18646715581417084]","[-0.2655341923236847,-0.1778677999973297,-0.32522767782211304]","[-0.1492459625005722,0.05441601574420929,-0.11642536520957947]","[-0.28127172589302063,-0.05664496868848801,0.00454007089138031]"
"[-0.3281331956386566,-0.21600182354450226,-0.278786838054657]","[-0.22913530468940735,-0.09553226828575134,-0.22274550795555115]","[-0.2501128315925598,-0.10397656261920929,-0.20197337865829468]","[-0.25533604621887207,-0.08426643908023834,-0.21631976962089539]","[-0.27504459023475647,0.05343446135520935,-0.19304993748664856]","[-0.19890999794006348,-0.091300830245018,-0.23119542002677917]","[-0.18852567672729492,-0.12012851983308792,-0.29579973220825195]","[-0.17618799209594727,-0.025085248053073883,-0.2617105543613434]","[-0.2043391615152359,0.03217626363039017,-0.3344651162624359]","[-0.2771271765232086,-0.024830155074596405,-0.2404676079750061]","[-0.2107716202735901,-0.08511108160018921,-0.24316340684890747]","[-0.23021040856838226,0.0864143818616867,-0.25311046838760376]","[-0.19709497690200806,-0.08450685441493988,-0.3053673803806305]","[-0.21556881070137024,-0.03473740071058273,-0.32925471663475037]","[-0.08836059272289276,-0.05298130214214325,-0.21585406363010406]","[-0.21142855286598206,-0.11218509823083878,-0.1806097775697708]","[-0.1783079206943512,-0.027143754065036774,-0.30845361948013306]","[-0.257542222738266,-0.11772763729095459,-0.32681402564048767]","[-0.16950184106826782,-0.1303327977657318,-0.3269759714603424]","[-0.17923901975154877,-0.07428327202796936,-0.2418658286333084]"
"[-0.26777371764183044,-0.10760322213172913,-0.17716798186302185]","[-0.17879626154899597,-0.06252504885196686,-0.1828174591064453]","[-0.21941111981868744,-0.024903111159801483,-0.06370958685874939]","[-0.18163852393627167,-0.060510922223329544,-0.11514014005661011]","[-0.2821311950683594,-0.09048140048980713,-0.17780807614326477]","[-0.1825120449066162,-0.01863691955804825,-0.15792182087898254]","[-0.19626067578792572,-0.1416659653186798,-0.14630892872810364]","[-0.1788417547941208,-0.06273210048675537,-0.21362870931625366]","[-0.21948902308940887,-0.04923761263489723,-0.21997907757759094]","[-0.2637954652309418,-0.10296082496643066,-0.22499054670333862]","[-0.2711634039878845,-0.1497613489627838,-0.17562052607536316]","[-0.24938198924064636,-0.05552683770656586,-0.29157108068466187]","[-0.2387719750404358,-0.16382035613059998,-0.3789278268814087]","[-0.30750980973243713,-0.02896927297115326,-0.2838117480278015]","[-0.31861382722854614,-0.004242405295372009,-0.2752954065799713]","[-0.2710643410682678,-0.052905552089214325,-0.27771908044815063]","[-0.2459750473499298,-0.15488937497138977,-0.19657045602798462]","[-0.16385532915592194,0.01172250509262085,-0.2345280945301056]","[-0.19520728290081024,-0.15456536412239075,-0.21308785676956177]","[-0.33607369661331177,-0.16148598492145538,-0.2186429351568222]"
"[-0.22650663554668427,0.08132690191268921,-0.24231766164302826]","[-0.134068101644516,-0.08018164336681366,-0.194944828748703]","[-0.10068550705909729,-0.021445803344249725,-0.1995241940021515]","[-0.1769624650478363,-0.1205870509147644,-0.2443426549434662]","[-0.18702824413776398,-0.08915218710899353,-0.2750372588634491]","[-0.23785331845283508,-0.06692427396774292,-0.31471410393714905]","[-0.17543110251426697,-0.07412891834974289,-0.21559469401836395]","[-0.2662925720214844,-0.03454163670539856,-0.21411029994487762]","[-0.16865605115890503,-0.05519610270857811,-0.23598526418209076]","[-0.2087569236755371,-0.049311116337776184,-0.28130868077278137]","[-0.18483717739582062,-0.022240109741687775,-0.31819239258766174]","[-0.13453024625778198,-0.0767507553100586,-0.31624937057495117]","[-0.2732139825820923,-0.013049975037574768,-0.31589120626449585]","[-0.25256022810935974,-0.1419086903333664,-0.2845204472541809]","[-0.055184245109558105,-0.1313582807779312,-0.26877036690711975]","[-0.17315161228179932,-0.15997914969921112,-0.32503247261047363]","[-0.26541537046432495,-0.06757642328739166,-0.30816102027893066]","[-0.2581597864627838,-0.05398895591497421,-0.25684085488319397]","[-0.14781981706619263,-0.1833687573671341,-0.17380866408348083]","[-0.29518020153045654,0.006207123398780823,-0.29880771040916443]"
